pubmed - Arabidopsis[titl],pubmed - chickpea[titl] OR Cicer[titl],pubmed - asparagus[titl],pubmed - Arabidopsis[titl],pubmed - rice[titl] OR Oryza[titl]
year,count,count,count,count
2019,50,14,711,1100
2018,107,40,1640,2255
2017,99,28,1729,2097
2016,95,34,1835,2101
2015,93,20,1920,1926
2014,80,36,2022,1774
2013,71,29,2030,1651
2012,74,29,1918,1497
2011,60,22,1806,1262
2010,47,22,1659,1080
2009,40,19,1507,1064
2008,40,22,1574,999
2007,34,17,1409,967
2006,36,18,1305,837
2005,29,24,1188,796
2004,30,16,1179,699
2003,22,12,1009,655
2002,21,14,958,572
2001,18,14,785,442
2000,33,19,700,411
